ReadBenchmark
request-count   	100000
concurrency     	1
duration        	35922ms
mean-rate       	2783.7697283701705
75%             	0.375836
95%             	0.448677
98%             	0.531974
99%             	0.791575
99.9%           	8.122918

ReadBenchmark
request-count   	100000
concurrency     	4
duration        	15878ms
mean-rate       	6297.991340344788
75%             	0.766242
95%             	1.111578
98%             	1.400828
99%             	1.773833
99.9%           	4.62942

ReadBenchmark
request-count   	100000
concurrency     	16
duration        	11754ms
mean-rate       	8507.352516504447
75%             	2.175583
95%             	3.567517
98%             	4.38176
99%             	5.061475
99.9%           	7.161553

ReadBenchmark
request-count   	100000
concurrency     	64
duration        	9510ms
mean-rate       	10514.761124008597
75%             	7.330468
95%             	9.71668
98%             	11.153269
99%             	12.09245
99.9%           	26.233437

ReadBenchmark
request-count   	100000
concurrency     	128
duration        	8444ms
mean-rate       	11842.411506672888
75%             	12.888831
95%             	17.55811
98%             	21.469095
99%             	32.156684
99.9%           	44.438644

